実施回,問題とタイトル,質問内容,成否（各アンサー）,選択肢,解説,画像URL
第34回：令和３年度（2022年）,問題3 人間関係とコミュニケーション,介護福祉職はＢさんから、「認知症（dementia）の母の介護がなぜかうまくいかない。深夜に徘徊（はいかい）するので、心身共に疲れてきた」と相談された。介護福祉職は、「落ち込んでいてはダメですよ。元気を出して頑張ってください」とＢさんに言った。後日、介護福祉職はＢさんに対する自身の発言を振り返り、不適切だったと反省した。介護福祉職はＢさんに対してどのような返答をすればよかったのか、最も適切なものを１つ選びなさい。,1 不正解,「お母さんに施設へ入所してもらうことを検討してはどうですか」,家族への支援で、介護福祉職は家族が抱える苦労や苦痛を受容し、共感する必要がある。事例の相談内容は、母親の介護がうまくいかず、心身共に疲れてきたというものである。施設入所の検討を発言することは適切とはいえない。,
第34回：令和３年度（2022年）,問題3 人間関係とコミュニケーション,介護福祉職はＢさんから、「認知症（dementia）の母の介護がなぜかうまくいかない。深夜に徘徊（はいかい）するので、心身共に疲れてきた」と相談された。介護福祉職は、「落ち込んでいてはダメですよ。元気を出して頑張ってください」とＢさんに言った。後日、介護福祉職はＢさんに対する自身の発言を振り返り、不適切だったと反省した。介護福祉職はＢさんに対してどのような返答をすればよかったのか、最も適切なものを１つ選びなさい。,2 不正解,「私も疲れているので、よくわかります」,Ｂさんの心身の疲れと介護福祉職の疲れは、比較できるものではない。「私も疲れているので、よくわかります」という発言では、相談者に共感したとはいえない。,
第34回：令和３年度（2022年）,問題3 人間関係とコミュニケーション,介護福祉職はＢさんから、「認知症（dementia）の母の介護がなぜかうまくいかない。深夜に徘徊（はいかい）するので、心身共に疲れてきた」と相談された。介護福祉職は、「落ち込んでいてはダメですよ。元気を出して頑張ってください」とＢさんに言った。後日、介護福祉職はＢさんに対する自身の発言を振り返り、不適切だったと反省した。介護福祉職はＢさんに対してどのような返答をすればよかったのか、最も適切なものを１つ選びなさい。,3 不正解,「認知症（dementia）の方を介護しているご家族は、皆さん疲れていますよ」,「皆さん疲れていますよ」という発言は、Ｂさんに「疲れても仕方がない」と受け止められる可能性がある。相談者の気持ちに寄り添った発言とはいえない。,
第34回：令和３年度（2022年）,問題3 人間関係とコミュニケーション,介護福祉職はＢさんから、「認知症（dementia）の母の介護がなぜかうまくいかない。深夜に徘徊（はいかい）するので、心身共に疲れてきた」と相談された。介護福祉職は、「落ち込んでいてはダメですよ。元気を出して頑張ってください」とＢさんに言った。後日、介護福祉職はＢさんに対する自身の発言を振り返り、不適切だったと反省した。介護福祉職はＢさんに対してどのような返答をすればよかったのか、最も適切なものを１つ選びなさい。,4 不正解,「近所の人に助けてもらえるように、私から言っておきます」,Ｂさんは、誰かに助けてもらいたいという相談はしていない。介護福祉職の判断だけで、近所の人に手助けを依頼することは適切ではない。,
第34回：令和３年度（2022年）,問題3 人間関係とコミュニケーション,介護福祉職はＢさんから、「認知症（dementia）の母の介護がなぜかうまくいかない。深夜に徘徊（はいかい）するので、心身共に疲れてきた」と相談された。介護福祉職は、「落ち込んでいてはダメですよ。元気を出して頑張ってください」とＢさんに言った。後日、介護福祉職はＢさんに対する自身の発言を振り返り、不適切だったと反省した。介護福祉職はＢさんに対してどのような返答をすればよかったのか、最も適切なものを１つ選びなさい。,5 正解,「お母さんのために頑張ってきたんですね」,「頑張ってきたんですね」という発言は、Ｂさんのこれまでの介護を肯定することになり、介護福祉職に分かってもらえているという安心感をＢさんに与える。Ｂさんの介護や相談内容を受容している発言であり、最も適切である。,
第34回：令和３年度（2022年）,問題4 人間関係とコミュニケーション,利用者とのコミュニケーション場面で、介護福祉職が行う自己開示の目的として、最も適切なものを１つ選びなさい。,1 不正解,ジョハリの窓（JohariWindow）の「開放された部分（openarea）」を狭くするために行う。,ジョハリの窓は、「自分は知っているが他人は知らない」「自分も他人も知っている」「自分は知らないが他人が知っている」「自分も他人も知らない」という４つの自分の姿を理解して、自己開発に役立てる心理モデルの一つである。自己開示は、ジョハリの窓の「自分は知っているが他人は知らない部分（隠ぺい部分）」を狭くして、「自分も他人も知っている部分（開放された部分）」を広くするために行う。,
第34回：令和３年度（2022年）,問題4 人間関係とコミュニケーション,利用者とのコミュニケーション場面で、介護福祉職が行う自己開示の目的として、最も適切なものを１つ選びなさい。,2 正解,利用者との信頼関係を形成するために行う。,介護福祉職自身について自己開示することで、利用者との距離が近づくことも可能で、信頼関係の形成にもつながる。,
第34回：令和３年度（2022年）,問題4 人間関係とコミュニケーション,利用者とのコミュニケーション場面で、介護福祉職が行う自己開示の目的として、最も適切なものを１つ選びなさい。,3 不正解,利用者が自分自身の情報を開示するために行う。,介護福祉職が行う自己開示は、利用者が自分自身の情報を開示するために行うのではない。介護福祉職自身の情報を開示することで、利用者との信頼関係の形成につなげるものである。,
第34回：令和３年度（2022年）,問題4 人間関係とコミュニケーション,利用者とのコミュニケーション場面で、介護福祉職が行う自己開示の目的として、最も適切なものを１つ選びなさい。,4 不正解,利用者との信頼関係を評価するために行う。,介護福祉職の自己開示は、利用者との信頼関係を評価するために行うのではなく、信頼関係を形成するために行われる。,
第34回：令和３年度（2022年）,問題4 人間関係とコミュニケーション,利用者とのコミュニケーション場面で、介護福祉職が行う自己開示の目的として、最も適切なものを１つ選びなさい。,5 不正解,自己を深く分析し、客観的に理解するために行う。,自己を深く分析し、客観的に理解するために行うのは自己覚知である。自己覚知は自分自身をよく認識するために行われる。,
第34回：令和３年度（2022年）,問題5 社会の理解,2016年（平成28年）に閣議決定された、「ニッポン一億総活躍プラン」にある「地域共生社会の実現」に関する記述として、最も適切なものを１つ選びなさい。,1 不正解,日本型福祉社会の創造,「日本型福祉社会の創造」は、「新経済社会７カ年計画」（1979年〔昭和54年〕閣議決定）で示された考え方である。福祉政策において、個人の自助努力と家庭、近隣、地域社会等の連帯を基盤とすると述べられている。,
第34回：令和３年度（2022年）,問題5 社会の理解,2016年（平成28年）に閣議決定された、「ニッポン一億総活躍プラン」にある「地域共生社会の実現」に関する記述として、最も適切なものを１つ選びなさい。,2 正解,我が事・丸ごとの地域づくり,「我が事・丸ごとの地域づくり」は、「ニッポン一億総活躍プラン」（2016年〔平成28年〕閣議決定）で示された地域共生社会実現のための取り組みの一つである。ほかに、子育て環境の整備なども掲げられている。,
第34回：令和３年度（2022年）,問題5 社会の理解,2016年（平成28年）に閣議決定された、「ニッポン一億総活躍プラン」にある「地域共生社会の実現」に関する記述として、最も適切なものを１つ選びなさい。,3 不正解,健康で文化的な最低限度の生活の保障,「健康で文化的な最低限度の生活の保障」は、日本国憲法第25条第１項（生存権の保障）の内容である。,
第34回：令和３年度（2022年）,問題5 社会の理解,2016年（平成28年）に閣議決定された、「ニッポン一億総活躍プラン」にある「地域共生社会の実現」に関する記述として、最も適切なものを１つ選びなさい。,4 不正解,社会保障と税の一体改革,「社会保障と税の一体改革」は、社会保障の充実・安定化と、そのための安定財源確保と財政健全化の同時達成を目指すものである。社会保障改革や必要財源の確保などの積み重ねによって、2012年（平成24年）に社会保障制度改革推進法が制定されたことで取り組まれた。,
第34回：令和３年度（2022年）,問題5 社会の理解,2016年（平成28年）に閣議決定された、「ニッポン一億総活躍プラン」にある「地域共生社会の実現」に関する記述として、最も適切なものを１つ選びなさい。,5 不正解,皆保険・皆年金体制の実現,1961年（昭和36年）に、皆保険は「国民健康保険法」の改正、皆年金は「国民年金法」制定により、ぞれぞれ実現した。,
第34回：令和３年度（2022年）,問題6 社会の理解,2019年（平成31年、令和元年）の日本の世帯に関する次の記述のうち、正しいものを１つ選びなさい。,1 不正解,平均世帯人員は、３人を超えている。,「2019年国民生活基礎調査」（厚生労働省）によると、2019年（平成31年、令和元年）の平均世帯人員は2.39人で、３人を超えていない。,
第34回：令和３年度（2022年）,問題6 社会の理解,2019年（平成31年、令和元年）の日本の世帯に関する次の記述のうち、正しいものを１つ選びなさい。,2 正解,世帯数で最も多いのは、２人世帯である。,世帯数で最も多いのは２人世帯の32.0％である。次いで１人世帯の28.8％、３人世帯の19.7％で、核家族化が進んでいる。,
第34回：令和３年度（2022年）,問題6 社会の理解,2019年（平成31年、令和元年）の日本の世帯に関する次の記述のうち、正しいものを１つ選びなさい。,3 不正解,単独世帯で最も多いのは、高齢者の単独世帯である。,"単独世帯（１人世帯）は、1,490万７千世帯である。このうち、高齢者（65歳以上）の単独世帯は736万９千世帯で、単独世帯の49.4％を占めている。65歳未満の単独世帯のほうが多い。",
第34回：令和３年度（2022年）,問題6 社会の理解,2019年（平成31年、令和元年）の日本の世帯に関する次の記述のうち、正しいものを１つ選びなさい。,4 不正解,母子世帯数と父子世帯数を合算すると、高齢者世帯数を超える。,"母子世帯数は64万４千世帯、父子世帯数は７万６千世帯で、合計すると72万世帯である。一方、高齢者世帯数は、1,487万８千世帯のため、高齢者世帯数を超えていない。",
第34回：令和３年度（2022年）,問題6 社会の理解,2019年（平成31年、令和元年）の日本の世帯に関する次の記述のうち、正しいものを１つ選びなさい。,5 不正解,全国の世帯総数は、７千万を超えている。,"全国の世帯総数は、5,178万５千世帯である。７千万世帯を超えていない。",
第34回：令和３年度（2022年）,問題7 社会の理解,2015年（平成27年）以降の日本の社会福祉を取り巻く環境に関する次の記述のうち、適切なものを１つ選びなさい。,1 不正解,人口は、増加傾向にある。,"「人口推計（2021年〔令和３年〕10月1日確定値）」（総務庁統計局）によると、2015年（平成27年）の日本の総人口は１億2,709万5,000人だったが、それ以降は減少傾向にある。",
第34回：令和３年度（2022年）,問題7 社会の理解,2015年（平成27年）以降の日本の社会福祉を取り巻く環境に関する次の記述のうち、適切なものを１つ選びなさい。,2 不正解,共働き世帯数は、減少傾向にある。,"「令和３年版厚生労働白書」（厚生労働省）によると、共働き世帯数（夫婦ともに非農林業雇用者の世帯）は1,240万世帯である。2015年（平成27年）から微減している年もあるが、全体的には増加傾向にある。",
第34回：令和３年度（2022年）,問題7 社会の理解,2015年（平成27年）以降の日本の社会福祉を取り巻く環境に関する次の記述のうち、適切なものを１つ選びなさい。,3 不正解,非正規雇用労働者数は、減少傾向にある。,"「労働力調査（基本集計）2021年（令和３年）」（総務省統計局）によると、非正規雇用労働者数は、2021年（令和３年）に2,064万人である。2015年（平成27年）には1,986万人のため、全体的には増加傾向にある。",
第34回：令和３年度（2022年）,問題7 社会の理解,2015年（平成27年）以降の日本の社会福祉を取り巻く環境に関する次の記述のうち、適切なものを１つ選びなさい。,4 正解,高齢世代を支える現役世代（生産年齢人口）は、減少傾向にある。,"「人口推計」（総務庁統計局）によると、高齢世代を支える現役世代（生産年齢人口）は、2021年（令和３年）は7,450万4,000人である。2015年（平成27年）には7,728万人のため、減少傾向にある。",
第34回：令和３年度（2022年）,問題7 社会の理解,2015年（平成27年）以降の日本の社会福祉を取り巻く環境に関する次の記述のうち、適切なものを１つ選びなさい。,5 不正解,日本の国民負担率は、OECD加盟国の中では上位にある。,「国民負担率（対国民所得比）の国際比較（OECD加盟36カ国）」（財務省）によると、日本の国民負担率は2019年度（令和元年度）は44.4％で、OECD加盟国の36か国中25位である。2015年（平成27年）は42.6％で28位のため、下位で推移している。,
第34回：令和３年度（2022年）,問題8 社会の理解,次のうち、2020年（令和2年）の社会福祉法等の改正に関する記述として、最も適切なものを１つ選びなさい。,1 不正解,市町村による地域福祉計画の策定,2000年（平成12年）の社会福祉事業法の改正により社会福祉法に規定されたものが、市町村による地域福祉計画の策定である。,
第34回：令和３年度（2022年）,問題8 社会の理解,次のうち、2020年（令和2年）の社会福祉法等の改正に関する記述として、最も適切なものを１つ選びなさい。,2 不正解,入所施設の重点的な拡充,入所施設の重点的な拡充は、2020年（令和２年）の社会福祉法等の改正内容ではない。,
第34回：令和３年度（2022年）,問題8 社会の理解,次のうち、2020年（令和2年）の社会福祉法等の改正に関する記述として、最も適切なものを１つ選びなさい。,3 正解,医療・介護のデータ基盤の整備の推進,2020年（令和２年）の社会福祉法等の改正では、市町村の包括的な支援体制の構築の支援、地域の特性に応じた認知症施策や介護サービス提供体制の整備等の推進、医療・介護のデータ基盤の整備の推進、介護人材確保及び業務効率化の取組の強化、社会福祉連携推進法人制度の創設などが盛り込まれた。,
第34回：令和３年度（2022年）,問題8 社会の理解,次のうち、2020年（令和2年）の社会福祉法等の改正に関する記述として、最も適切なものを１つ選びなさい。,4 不正解,市町村直営の介護サービス事業の整備拡充,市町村直営の介護サービス事業の整備拡充は、2020年（令和２年）の社会福祉法等の改正内容ではない。,
第34回：令和３年度（2022年）,問題8 社会の理解,次のうち、2020年（令和2年）の社会福祉法等の改正に関する記述として、最も適切なものを１つ選びなさい。,5 不正解,ロボット等の機械の活用から人によるケアへの転換,ロボット等の機械の活用から人によるケアへの転換は、2020年（令和２年）の社会福祉法等の改正内容ではない。,
第34回：令和３年度（2022年）,問題9 社会の理解,Ｃさん（78歳、男性、要支援１）は、公的年金（月額19万円）で公営住宅の３階で一人暮らしをしている。妻と死別後も通所型サービスを利用し、自炊を楽しみながら生活している。最近、膝の具合がよくないこともあり、階段の上り下りが負担になってきた。そこで、転居について、通所型サービスのＤ介護福祉士に相談をした。次のうち、Ｄ介護福祉士がＣさんに紹介する住まいの場として、最も適切なものを１つ選びなさい。,1 不正解,認知症対応型共同生活介護（認知症高齢者グループホーム）,Ｃさんは、膝の具合は悪いが認知症ではなく、要支援１である。認知症対応型共同生活介護（認知症高齢者グループホーム）は、認知症の要介護者を対象としているため、紹介する住まいの場として適切ではない。,
第34回：令和３年度（2022年）,問題9 社会の理解,Ｃさん（78歳、男性、要支援１）は、公的年金（月額19万円）で公営住宅の３階で一人暮らしをしている。妻と死別後も通所型サービスを利用し、自炊を楽しみながら生活している。最近、膝の具合がよくないこともあり、階段の上り下りが負担になってきた。そこで、転居について、通所型サービスのＤ介護福祉士に相談をした。次のうち、Ｄ介護福祉士がＣさんに紹介する住まいの場として、最も適切なものを１つ選びなさい。,2 不正解,介護付有料老人ホーム,Ｃさんは、通所型サービスを利用し、自炊も行っている。介護付有料老人ホームは、要介護者に対して介護保険サービスを提供するため、要支援１のＣさんの住まいの場として適切ではない。,
第34回：令和３年度（2022年）,問題9 社会の理解,Ｃさん（78歳、男性、要支援１）は、公的年金（月額19万円）で公営住宅の３階で一人暮らしをしている。妻と死別後も通所型サービスを利用し、自炊を楽しみながら生活している。最近、膝の具合がよくないこともあり、階段の上り下りが負担になってきた。そこで、転居について、通所型サービスのＤ介護福祉士に相談をした。次のうち、Ｄ介護福祉士がＣさんに紹介する住まいの場として、最も適切なものを１つ選びなさい。,3 不正解,軽費老人ホームＡ型,軽費老人ホームＡ型は、低所得で、自炊ができない方向けの住宅である。Ｃさんは自炊を楽しみながら生活しており、また年金額から判断しても低所得とはいえないため、紹介する住まいの場として適切ではない。,
第34回：令和３年度（2022年）,問題9 社会の理解,Ｃさん（78歳、男性、要支援１）は、公的年金（月額19万円）で公営住宅の３階で一人暮らしをしている。妻と死別後も通所型サービスを利用し、自炊を楽しみながら生活している。最近、膝の具合がよくないこともあり、階段の上り下りが負担になってきた。そこで、転居について、通所型サービスのＤ介護福祉士に相談をした。次のうち、Ｄ介護福祉士がＣさんに紹介する住まいの場として、最も適切なものを１つ選びなさい。,4 正解,サービス付き高齢者向け住宅,サービス付き高齢者向け住宅は、バリアフリー仕様の賃貸住宅で、膝の具合が悪いＣさんが公営住宅の３階から転居する住まいの場として最も適切である。,
第34回：令和３年度（2022年）,問題9 社会の理解,Ｃさん（78歳、男性、要支援１）は、公的年金（月額19万円）で公営住宅の３階で一人暮らしをしている。妻と死別後も通所型サービスを利用し、自炊を楽しみながら生活している。最近、膝の具合がよくないこともあり、階段の上り下りが負担になってきた。そこで、転居について、通所型サービスのＤ介護福祉士に相談をした。次のうち、Ｄ介護福祉士がＣさんに紹介する住まいの場として、最も適切なものを１つ選びなさい。,5 不正解,養護老人ホーム,養護老人ホームは、環境上、経済上の理由により、自宅で養護を受けることが困難な高齢者を対象とする施設である、公的年金が月額19万円あり、自炊もできる状態のＣさんが転居する住まいの場として適切ではない。,
第34回：令和３年度（2022年）,問題10 社会の理解,介護保険制度の保険給付の財源構成として、適切なものを１つ選びなさい。,1 不正解,保険料,介護保険制度の財源のうち、被保険者が納付する保険料の占める割合は50％である。保険料だけで構成されていない。,
第34回：令和３年度（2022年）,問題10 社会の理解,介護保険制度の保険給付の財源構成として、適切なものを１つ選びなさい。,2 不正解,公費,介護保険制度の財源のうち、国、都道府県、市町村による公費負担の占める割合は50％である。公費だけで構成されていない。,
第34回：令和３年度（2022年）,問題10 社会の理解,介護保険制度の保険給付の財源構成として、適切なものを１つ選びなさい。,3 不正解,公費、保険料、現役世代からの支援金,介護保険制度の財源に、現役世代からの支援金は含まれていない。現役世代からの支援金が財源構成に含まれているのは、後期高齢者医療保険制度である。,
第34回：令和３年度（2022年）,問題10 社会の理解,介護保険制度の保険給付の財源構成として、適切なものを１つ選びなさい。,4 不正解,公費、第一号保険料,介護保険制度の財源のうち、公費と第一号保険料が占める割合は73％である。このほかに第二号保険料で構成されている。,
第34回：令和３年度（2022年）,問題10 社会の理解,介護保険制度の保険給付の財源構成として、適切なものを１つ選びなさい。,5 正解,公費、第一号保険料、第二号保険料,介護保険制度の財源は、公費50％、第一号保険料23％、第二号保険料27％で構成されている。,
第34回：令和３年度（2022年）,問題11 社会の理解,「2016年（平成28年）生活のしづらさなどに関する調査（全国在宅障害児・者等実態調査）」（厚生労働省）における身体障害、知的障害、精神障害の近年の状況に関する次の記述のうち、正しいものを１つ選びなさい。,1 不正解,最も人数の多い障害は、知的障害である。,"障害者手帳所持者等の推計値では、身体障害者手帳の所持者が428万7,000人、知的障害者に交付される療育手帳の所持者が96万2,000人、精神障害者保健福祉手帳の所持者が84万1,000人である。また、障害者手帳を所持していないが、障害者総合支援法に基づく自立支援給付等を受けている者が、33万8,000人いる。知的障害が最も多いとするのは適切ではない。",
第34回：令和３年度（2022年）,問題11 社会の理解,「2016年（平成28年）生活のしづらさなどに関する調査（全国在宅障害児・者等実態調査）」（厚生労働省）における身体障害、知的障害、精神障害の近年の状況に関する次の記述のうち、正しいものを１つ選びなさい。,2 不正解,施設入所者の割合が最も高い障害は、身体障害である。,住宅の種類について「グループホームなどの施設に入所している」と回答した者の割合で、最も多いのは知的障害である。,
第34回：令和３年度（2022年）,問題11 社会の理解,「2016年（平成28年）生活のしづらさなどに関する調査（全国在宅障害児・者等実態調査）」（厚生労働省）における身体障害、知的障害、精神障害の近年の状況に関する次の記述のうち、正しいものを１つ選びなさい。,3 正解,在宅の身体障害者のうち、65歳以上の割合は７割を超えている。,年齢・手帳所持者で在宅の障害者をみると、在宅の身体障害者のうち、65歳以上の者の割合は72.6％で７割を超えている。身体障害者の高齢化が進んでいる。,
第34回：令和３年度（2022年）,問題11 社会の理解,「2016年（平成28年）生活のしづらさなどに関する調査（全国在宅障害児・者等実態調査）」（厚生労働省）における身体障害、知的障害、精神障害の近年の状況に関する次の記述のうち、正しいものを１つ選びなさい。,4 不正解,在宅の知的障害者の数は、減少傾向にある。,"在宅の療育手帳所持者は、2005年（平成17年）には41万9,000人、2011（平成23）年には62万2,000人、2016年（平成26年）には96万2,000人となっており、在宅の知的障害者は増加傾向にある。",
第34回：令和３年度（2022年）,問題11 社会の理解,「2016年（平成28年）生活のしづらさなどに関する調査（全国在宅障害児・者等実態調査）」（厚生労働省）における身体障害、知的障害、精神障害の近年の状況に関する次の記述のうち、正しいものを１つ選びなさい。,5 不正解,精神障害者の8割は、精神障害者保健福祉手帳を所持している。,"把握されている精神障害者の総数は、392万4,000人である。このうち、精神障害者保健福祉手帳所持者は、84万1,000人で全体の２割程度である。",
第34回：令和３年度（2022年）,問題12 社会の理解,Ｅさん（30歳、女性、知的障害、障害支援区分２）は、現在、日中は特例子会社で働き、共同生活援助（グループホーム）で生活している。今後、一人暮らしをしたいと思っているが、初めてなので不安もある。次のうち、Ｅさんが安心して一人暮らしをするために利用するサービスとして、適切なものを１つ選びなさい。,1 不正解,行動援護,行動援護は、知的障害または精神障害によって行動上著しい困難があり、常時介護を必要とする者に、外出時に付き添って移動中の介護などを行うサービスである。日中は特例子会社で働き、一人暮らしを希望しているＥさんが利用するサービスとして適切ではない。,
第34回：令和３年度（2022年）,問題12 社会の理解,Ｅさん（30歳、女性、知的障害、障害支援区分２）は、現在、日中は特例子会社で働き、共同生活援助（グループホーム）で生活している。今後、一人暮らしをしたいと思っているが、初めてなので不安もある。次のうち、Ｅさんが安心して一人暮らしをするために利用するサービスとして、適切なものを１つ選びなさい。,2 不正解,同行援護,同行援護は、視覚障害によって移動に著しい困難がある者に、外出時に同行して必要な援助を行うサービスである。知的障害者であるＥさんが利用できるサービスではない。,
